Rank,Ticker,Company,homepages,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
136,MU,Micron Technology,https://www.marketwatch.com/ https://www.globenewswire.com https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; News; Short Ideas; Insider Trades; Markets; Trading Ideas,investing; investing,investing; investing; investing,investing; investing,Product / Services Announcement,News; Earnings; Equities; Futures; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Movers; Trading Ideas,Product / Services Announcement; Calendar of Events; Conference Calls/ Webcasts; News; Price Target; Reiteration; Analyst Ratings; Tech; Trading Ideas; Product / Services Announcement,Conference Calls/ Webcasts; Calendar of Events; investing,News; Analyst Color; Equities; Price Target; Reiteration; Markets; Analyst Ratings; Trading Ideas; General; News; Earnings; Equities; Top Stories; Economics; Federal Reserve; Markets; Movers; Trading Ideas; News; Penny Stocks; Small Cap; Intraday Update; Markets; Movers; Trading Ideas,News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,Analyst Ratings; News; Penny Stocks; Price Target; Small Cap; Markets; Analyst Ratings; Trading Ideas; Macro Economic Events; Equities; Cryptocurrency; Broad U.S. Equity ETFs; Bonds; Emerging Markets; Emerging Market ETFs; Currency ETFs; Commodities; Treasuries; Top Stories; Economics; Federal Reserve; Markets; Tech; ETFs,investing; Opinion; Economics; Federal Reserve; Markets; investing; Sector ETFs; Equities; Large Cap; Mid Cap; Small Cap; Top Stories; Tech; Trading Ideas; ETFs
137,V,Visa,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing,investing; investing,investing,investing,investing; investing; investing; investing,investing; investing; investing; investing,investing; investing; News; Price Target; Reiteration; Analyst Ratings; Trading Ideas; investing,investing; investing,investing,investing; investing,investing; investing,investing; Long Ideas; News; Price Target; Markets; Analyst Ratings; Trading Ideas
138,SO,Southern,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/,Analyst Ratings; investing; News; Top Stories; Media; Trading Ideas,News; Earnings; Guidance; Markets; Trading Ideas; News; Earnings; Pre-Market Outlook; Markets; Trading Ideas,,News; Macro Economic Events; Economics; Markets; General; investing; investing,Analyst Ratings,,News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,Long Ideas; News; Small Cap; Markets; Media; Trading Ideas; investing; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,investing; investing,investing,investing; investing; investing,investing; investing; investing
139,UNFI,United Natural Foods,https://seekingalpha.com/ https://www.fool.com/ https://www.zacks.com/ https://www.benzinga.com/,News; Short Ideas; Insider Trades; Markets; Trading Ideas,,Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; News; Penny Stocks; Price Target; Small Cap; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; News; Penny Stocks; Small Cap; Econ #s; Top Stories; Markets,,,Long Ideas; News; Small Cap; Pre-Market Outlook; Markets; Trading Ideas; investing,,,investing; Analyst Ratings; News; Analyst Color; Equities; Price Target; Reiteration; Small Cap; Markets; Analyst Ratings; Trading Ideas; General; Analyst Ratings,News; Short Ideas; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; investing; Long Ideas; News; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,,Analyst Ratings
140,PCAR,Paccar,https://www.zacks.com/ https://www.benzinga.com/ https://www.marketwatch.com/,,,,Analyst Ratings,,,Analyst Ratings; News; Cryptocurrency; Social Media; Macro Economic Events; Economics; Markets; General,,,,,
141,DUK,Duke Energy,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/,,,,,investing; News; Cryptocurrency; Macro Economic Events; Economics; Markets; General,investing; investing,investing,Analyst Ratings,,,investing; Analyst Ratings; investing,investing; News; Price Target; Small Cap; Markets; Analyst Ratings; Trading Ideas
142,LLY,Eli Lilly,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing,News; Earnings; Penny Stocks; Futures; Previews; Small Cap; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Trading Ideas; investing,investing; investing; investing; investing; investing,investing; News; Earnings; Futures; Previews; Small Cap; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Trading Ideas; investing,investing; investing; investing; News; Analyst Color; Biotech; Equities; Health Care; Price Target; Initiation; Markets; Analyst Ratings; Movers; General,,investing; investing,investing; investing,News; Top Stories; Markets; General; investing,Analyst Color; Earnings; Equities; News; Previews; Top Stories,investing,investing; News; Health Care; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; General
143,HPE,Hewlett Packard Enterprise,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,,,News; Dividends; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; Analyst Ratings,News; Dividends; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas,News; Earnings; Guidance; After-Hours Center; Movers,,News; Analyst Color; Price Target; Reiteration; Analyst Ratings; Tech,,investing,News; Analyst Color; Earnings; Equities; Top Stories,News; Penny Stocks; Small Cap; Intraday Update; Markets; Movers; Trading Ideas; Analyst Ratings; News; Penny Stocks; Small Cap; Intraday Update; Markets; Movers; Trading Ideas,News; Short Ideas; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas
144,DLTR,Dollar Tree,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing; News; Analyst Color; Markets; Analyst Ratings,,Long Ideas; News; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; investing; investing; investing,investing,News; Penny Stocks; Price Target; Small Cap; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; News; Earnings; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas,News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; News; Analyst Color; Price Target; Reiteration; Analyst Ratings; General; Analyst Ratings; Analyst Ratings; News; Analyst Color; Futures; Top Stories; Markets,investing,investing; Analyst Color; Price Target; Previews; Reiteration; Analyst Ratings; Trading Ideas; investing,Long Ideas; News; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,investing; News; Analyst Color; Equities; Upgrades; Downgrades; Price Target; Small Cap; Markets; Analyst Ratings; Trading Ideas; General,Sector ETFs; Equities; Large Cap; Mid Cap; Macro Economic Events; Broad U.S. Equity ETFs; Bonds; Specialty ETFs; Small Cap; Economics; Federal Reserve; Markets; Tech; ETFs,investing; Analyst Ratings; investing; investing
145,LAD,Lithia Motors,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,News; Penny Stocks; Large Cap; Legal; Top Stories; Pre-Market Outlook; Tech; Media; General; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; News; Penny Stocks; Price Target; Small Cap; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; Analyst Ratings,,,Small Cap; Top Stories; Economics; News; Price Target; Intraday Update; Markets; Analyst Ratings; Trading Ideas,,,News; Analyst Color; Equities; Mid Cap; Price Target; Reiteration; Markets; Analyst Ratings; Trading Ideas; Analyst Ratings; News; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; News; Penny Stocks; Small Cap; Intraday Update; Markets; Movers; Trading Ideas,,,investing,,
146,CMI,Cummins,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,,News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,,,,Long Ideas; News; Small Cap; Top Stories; Markets; Media; Trading Ideas,,Analyst Ratings; News; Penny Stocks; Short Sellers; Small Cap; Intraday Update; Markets; Movers; Trading Ideas,investing; investing,Long Ideas; News; Markets; Media; Trading Ideas,,
147,PAG,Penske Automotive Group,https://www.fool.com/ https://www.zacks.com/ https://www.benzinga.com/,,News; Short Ideas; Small Cap; Pre-Market Outlook; Markets; Trading Ideas,,,,,,,,investing; Analyst Ratings,,
148,PYPL,PayPal Holdings,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing,investing; investing,investing; investing,investing; investing,investing; investing; investing,investing; investing; investing,investing; investing,investing; investing; investing,investing; investing,investing; Analyst Color; Earnings; Equities; News; Previews; Top Stories,investing; investing; investing,investing
149,USB,U.S. Bancorp,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/,investing; investing; Analyst Ratings,investing; investing,investing; investing; News; Top Stories,investing; Long Ideas; News; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,investing,,investing; Analyst Ratings; investing,investing; investing; Sector ETFs; Analyst Color; Large Cap; Mid Cap; Small Cap; Analyst Ratings; ETFs,Analyst Ratings; Analyst Ratings; investing,investing; investing; investing,Analyst Ratings; Long Ideas; News; Markets; Media; Trading Ideas; investing,investing; investing
150,GILD,Gilead Sciences,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,,investing,investing; Sector ETFs; Cryptocurrency; Specialty ETFs; New ETFs; Top Stories; Markets; Tech; ETFs; investing,News; Macro Economic Events; Economics; Markets; General; investing,,investing,investing,investing,News; Dividends; Health Care; Price Target; Pre-Market Outlook; Markets; Analyst Ratings; Trading Ideas; General; investing,investing,investing,
151,AN,AutoNation,https://www.marketwatch.com/ https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/,Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings,News; Short Ideas; Small Cap; Pre-Market Outlook; Markets; Trading Ideas,News; Penny Stocks; Small Cap; Pre-Market Outlook; Markets; Movers; Trading Ideas,Small Cap; Top Stories; Economics,News; Short Ideas; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,Long Ideas; News; Small Cap; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas,,,News; Earnings; Penny Stocks; Small Cap; Pre-Market Outlook; Markets; Trading Ideas; investing; investing,Analyst Color; Earnings; Equities; News; Previews; Top Stories; Sector ETFs; News; Earnings; Equities; Broad U.S. Equity ETFs; Top Stories; Economics; Federal Reserve; Markets; Movers; Trading Ideas; ETFs; News; Earnings; Pre-Market Outlook; Markets; Trading Ideas,,
152,NVDA,Nvidia,https://www.marketwatch.com/ https://www.globenewswire.com https://www.zacks.com/ https://seekingalpha.com/ https://www.fool.com/ https://www.benzinga.com/ https://www.investing.com/,News; Short Ideas; Insider Trades; Pre-Market Outlook; Markets; Trading Ideas; Long Ideas; News; Small Cap; Markets; Media; Trading Ideas; investing,News; Analyst Color; Price Target; Reiteration; Top Stories; Analyst Ratings; Tech; Trading Ideas; investing; investing; investing,News; Analyst Color; Large Cap; Mid Cap; Topics; Top Stories; Markets; Tech; Media; Trading Ideas; General; Arts & Entertainment; Product / Services Announcement,investing,investing; Small Cap; Top Stories; Movers; Tech; Trading Ideas,Government; Regulations; Asia; Large Cap; Economics; Tech; News; Price Target; Analyst Ratings; Tech; Trading Ideas,investing; investing,News; Price Target; Reiteration; Analyst Ratings; Tech; Trading Ideas; investing,News; Top Stories,Cryptocurrency; Asia; Economics; Federal Reserve; Markets; Tech; News; Price Target; Reiteration; Analyst Ratings; Tech; Trading Ideas; investing,investing; Equities; Macro Economic Events; Broad U.S. Equity ETFs; Bonds; New ETFs; Treasuries; Top Stories; Economics; Federal Reserve; ETFs,Equities; Large Cap; Broad U.S. Equity ETFs; Top Stories; Markets; Tech; ETFs; News; Equities; Cryptocurrency; Fintech; Broad U.S. Equity ETFs; Specialty ETFs; Top Stories; Markets; ETFs; General
153,KHC,Kraft Heinz,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing; investing,investing; News; Cryptocurrency; Previews; Small Cap; Events; Top Stories; Exclusives; Markets; Trading Ideas,investing; investing,,investing; investing,Long Ideas; News; Small Cap; Pre-Market Outlook; Markets; Trading Ideas; investing,,News; Specialty ETFs; Management; Top Stories; Success Stories; Tech; Media; ETFs,Upgrades; Downgrades; Initiation; Intraday Update; Analyst Ratings; investing,Analyst Color; Earnings; Equities; News; Previews; Top Stories,,
154,AMGN,Amgen,https://www.marketwatch.com/ https://www.zacks.com/ https://www.fool.com/ https://seekingalpha.com/ https://www.benzinga.com/ https://www.investing.com/,investing,investing; investing; investing,Long Ideas; News; Options; Top Stories; Markets; Media; Trading Ideas; investing; investing,News; Earnings; Futures; Previews; Small Cap; Top Stories; Economics; Federal Reserve; Pre-Market Outlook; Markets; Trading Ideas; News; Macro Economic Events; Economics; Markets; General,investing; investing,Long Ideas; Sector ETFs; News; Analyst Color; Large Cap; Mid Cap; Dividends; Specialty ETFs; Emerging Market ETFs; Global; Markets; Trading Ideas; ETFs; General; investing; investing; investing,News; M&A; Analyst Color; Earnings; Biotech; Penny Stocks; Large Cap; Health Care; Small Cap; Analyst Ratings; Trading Ideas; General; investing; investing,investing; News; Earnings; Equities; Previews; Top Stories; Economics; Federal Reserve; Markets; Movers; Trading Ideas; Cryptocurrency; Commodities; Economics; Markets; Tech,Broad U.S. Equity ETFs; Commodities; Top Stories; Tech; ETFs,investing; Analyst Color; Earnings; Equities; News; Previews; Top Stories,Analyst Ratings; investing,
